"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"02/01/2013","3.725","3.700","3.800","3.700","14,93M","0,68%"
"03/01/2013","3.725","3.750","3.775","3.700","25,17M","0,00%"
"04/01/2013","3.800","3.725","3.825","3.725","31,88M","2,01%"
"07/01/2013","3.800","3.775","3.825","3.750","38,64M","0,00%"
"08/01/2013","3.875","3.800","3.875","3.800","42,48M","1,97%"
"09/01/2013","3.775","3.875","3.875","3.725","35,95M","-2,58%"
"10/01/2013","3.700","3.775","3.775","3.675","19,77M","-1,99%"
"11/01/2013","3.675","3.700","3.725","3.650","29,14M","-0,68%"
"14/01/2013","3.725","3.700","3.750","3.675","31,33M","1,36%"
"15/01/2013","3.800","3.725","3.800","3.725","15,28M","2,01%"
"16/01/2013","3.750","3.800","3.800","3.700","23,26M","-1,32%"
"17/01/2013","3.725","3.725","3.775","3.725","18,82M","-0,67%"
"18/01/2013","3.850","3.750","3.875","3.750","28,31M","3,36%"
"21/01/2013","3.850","3.800","3.850","3.775","11,80M","0,00%"
"22/01/2013","3.800","3.800","3.850","3.750","12,95M","-1,30%"
"23/01/2013","3.850","3.800","3.850","3.800","16,71M","1,32%"
"25/01/2013","3.875","3.850","3.900","3.850","37,13M","0,65%"
"28/01/2013","3.875","3.875","3.875","3.825","6,62M","0,00%"
"29/01/2013","3.875","3.875","3.900","3.850","22,62M","0,00%"
"30/01/2013","3.900","3.875","3.900","3.850","24,84M","0,65%"
"31/01/2013","3.925","3.925","3.925","3.875","30,33M","0,64%"
"01/02/2013","4.250","3.950","4.325","3.950","164,33M","8,28%"
"04/02/2013","4.225","4.275","4.275","4.100","41,99M","-0,59%"
"05/02/2013","4.200","4.175","4.200","4.150","13,62M","-0,59%"
"06/02/2013","4.200","4.200","4.225","4.175","23,40M","0,00%"
"07/02/2013","4.275","4.200","4.300","4.175","44,03M","1,79%"
"08/02/2013","4.250","4.275","4.300","4.225","31,81M","-0,58%"
"11/02/2013","4.250","4.275","4.275","4.200","17,24M","0,00%"
"12/02/2013","4.250","4.225","4.275","4.225","13,09M","0,00%"
"13/02/2013","4.325","4.275","4.375","4.250","31,40M","1,76%"
"14/02/2013","4.375","4.325","4.400","4.325","29,24M","1,16%"
"15/02/2013","4.400","4.375","4.400","4.350","17,09M","0,57%"
"18/02/2013","4.325","4.400","4.400","4.325","7,26M","-1,70%"
"19/02/2013","4.250","4.325","4.325","4.200","29,90M","-1,73%"
"20/02/2013","4.250","4.300","4.300","4.225","12,75M","0,00%"
"21/02/2013","4.325","4.275","4.375","4.275","45,23M","1,76%"
"22/02/2013","4.375","4.350","4.400","4.325","35,15M","1,16%"
"25/02/2013","4.375","4.400","4.400","4.325","28,76M","0,00%"
"26/02/2013","4.400","4.350","4.425","4.350","19,67M","0,57%"
"27/02/2013","4.375","4.400","4.400","4.325","34,08M","-0,57%"
"28/02/2013","4.600","4.400","4.625","4.400","49,37M","5,14%"
"01/03/2013","4.850","4.600","4.850","4.600","62,31M","5,43%"
"04/03/2013","4.725","4.900","4.900","4.625","35,06M","-2,58%"
"05/03/2013","4.725","4.700","4.775","4.700","16,90M","0,00%"
"06/03/2013","4.750","4.775","4.800","4.700","35,85M","0,53%"
"07/03/2013","4.800","4.725","4.800","4.725","14,57M","1,05%"
"08/03/2013","4.775","4.800","4.875","4.725","17,52M","-0,52%"
"11/03/2013","4.825","4.775","4.850","4.775","23,42M","1,05%"
"13/03/2013","4.775","4.800","4.825","4.725","27,54M","-1,04%"
