"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"02/01/2013","4.000","3.900","4.000","3.900","3,54M","2,56%"
"03/01/2013","4.000","4.025","4.350","4.000","8,79M","0,00%"
"04/01/2013","4.000","4.000","4.000","3.950","3,37M","0,00%"
"07/01/2013","3.975","4.050","4.050","3.975","7,74M","-0,63%"
"08/01/2013","4.050","3.975","4.075","3.975","5,07M","1,89%"
"09/01/2013","3.950","4.050","4.050","3.950","3,65M","-2,47%"
"10/01/2013","3.875","3.950","3.975","3.875","4,05M","-1,90%"
"11/01/2013","3.875","3.925","3.950","3.800","5,26M","0,00%"
"14/01/2013","3.975","3.875","3.975","3.875","1,03M","2,58%"
"15/01/2013","4.000","3.975","4.000","3.925","3,38M","0,63%"
"16/01/2013","3.950","3.950","4.000","3.925","2,31M","-1,25%"
"17/01/2013","3.975","3.975","3.975","3.925","5,13M","0,63%"
"18/01/2013","3.975","3.975","3.975","3.925","5,49M","0,00%"
"21/01/2013","3.950","3.950","3.975","3.925","3,92M","-0,63%"
"22/01/2013","3.975","3.950","4.000","3.925","6,59M","0,63%"
"23/01/2013","4.025","4.025","4.025","3.975","5,18M","1,26%"
"25/01/2013","4.050","3.975","4.075","3.975","7,34M","0,62%"
"28/01/2013","4.025","4.050","4.075","4.000","8,31M","-0,62%"
"29/01/2013","4.025","4.075","4.075","4.025","8,33M","0,00%"
"30/01/2013","4.000","4.025","4.075","3.975","7,15M","-0,62%"
"31/01/2013","4.000","3.950","4.025","3.950","5,65M","0,00%"
"01/02/2013","4.050","4.050","4.050","3.975","6,67M","1,25%"
"04/02/2013","4.050","4.000","4.050","3.975","5,54M","0,00%"
"05/02/2013","4.050","3.975","4.075","3.975","4,08M","0,00%"
"06/02/2013","4.025","4.075","4.075","4.025","4,30M","-0,62%"
"07/02/2013","4.025","4.075","4.075","4.000","4,38M","0,00%"
"08/02/2013","4.000","4.050","4.050","4.000","2,65M","-0,62%"
"11/02/2013","3.975","4.050","4.075","3.975","2,91M","-0,63%"
"12/02/2013","4.000","3.975","4.050","3.975","7,28M","0,63%"
"13/02/2013","4.000","4.000","4.075","4.000","6,44M","0,00%"
"14/02/2013","4.000","4.025","4.025","3.950","9,91M","0,00%"
"15/02/2013","4.000","4.000","4.050","3.975","2,35M","0,00%"
"18/02/2013","4.000","3.975","4.050","3.975","7,45M","0,00%"
"19/02/2013","4.000","4.000","4.025","3.975","6,77M","0,00%"
"20/02/2013","4.000","4.000","4.050","3.975","9,83M","0,00%"
"21/02/2013","4.000","3.975","4.025","3.975","7,55M","0,00%"
"22/02/2013","4.050","4.050","4.050","4.025","4,99M","1,25%"
"25/02/2013","4.150","4.075","4.200","4.050","19,15M","2,47%"
"26/02/2013","4.200","4.175","4.300","4.150","9,55M","1,20%"
"27/02/2013","4.275","4.200","4.325","4.200","12,65M","1,79%"
"28/02/2013","4.250","4.275","4.325","4.250","5,67M","-0,58%"
"01/03/2013","4.275","4.300","4.425","4.275","10,03M","0,59%"
"04/03/2013","4.125","4.300","4.300","4.100","11,08M","-3,51%"
"05/03/2013","4.325","4.150","4.350","4.150","12,18M","4,85%"
"06/03/2013","4.475","4.300","4.525","4.300","12,65M","3,47%"
"07/03/2013","4.550","4.575","4.650","4.475","5,43M","1,68%"
"08/03/2013","4.625","4.575","4.625","4.375","2,84M","1,65%"
"11/03/2013","4.475","4.625","4.625","4.450","4,24M","-3,24%"
"13/03/2013","4.475","4.550","4.575","4.475","8,33M","0,00%"
"14/03/2013","4.500","4.475","4.550","4.450","7,57M","0,56%"
"15/03/2013","4.625","4.550","4.625","4.475","13,54M","2,78%"
"18/03/2013","4.525","4.600","4.600","4.475","7,62M","-2,16%"
"19/03/2013","4.525","4.550","4.550","4.475","9,90M","0,00%"
"20/03/2013","4.375","4.500","4.525","4.350","18,48M","-3,31%"
"21/03/2013","4.425","4.400","4.500","4.375","17,82M","1,14%"
"22/03/2013","4.200","4.425","4.575","4.200","22,25M","-5,08%"
