"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"02/01/2013","1.794","1.814","1.835","1.774","60,07M","-1,10%"
"03/01/2013","1.804","1.804","1.814","1.794","121,18M","0,56%"
"04/01/2013","1.825","1.804","1.825","1.804","100,96M","1,11%"
"07/01/2013","1.845","1.825","1.865","1.825","109,81M","1,10%"
"08/01/2013","1.835","1.845","1.855","1.835","76,95M","-0,54%"
"09/01/2013","1.794","1.835","1.845","1.784","150,40M","-2,19%"
"10/01/2013","1.794","1.794","1.804","1.764","165,43M","0,00%"
"11/01/2013","1.814","1.794","1.814","1.784","93,04M","1,12%"
"14/01/2013","1.835","1.825","1.835","1.814","93,56M","1,11%"
"15/01/2013","1.895","1.835","1.895","1.835","138,83M","3,28%"
"16/01/2013","1.905","1.895","1.905","1.885","80,14M","0,53%"
"17/01/2013","1.915","1.895","1.925","1.895","108,61M","0,53%"
"18/01/2013","1.965","1.925","1.965","1.915","106,23M","2,62%"
"21/01/2013","1.925","1.955","1.955","1.905","92,16M","-2,04%"
"22/01/2013","1.925","1.905","1.925","1.895","57,36M","0,00%"
"23/01/2013","1.925","1.925","1.945","1.885","54,20M","0,00%"
"25/01/2013","1.965","1.925","1.965","1.905","121,34M","2,08%"
"28/01/2013","1.915","1.945","1.955","1.905","110,90M","-2,55%"
"29/01/2013","1.935","1.945","1.965","1.915","148,78M","1,05%"
"30/01/2013","1.945","1.935","1.955","1.925","82,93M","0,52%"
"31/01/2013","1.945","1.935","1.945","1.915","154,64M","0,00%"
"01/02/2013","1.935","1.945","1.965","1.935","92,25M","-0,52%"
"04/02/2013","1.945","1.965","1.965","1.925","63,58M","0,52%"
"05/02/2013","1.945","1.955","1.955","1.925","73,21M","0,00%"
"06/02/2013","1.965","1.965","1.965","1.945","71,90M","1,03%"
"07/02/2013","1.935","1.945","1.965","1.925","55,74M","-1,53%"
"08/02/2013","1.935","1.955","1.955","1.925","82,61M","0,00%"
"11/02/2013","1.935","1.935","1.945","1.925","55,80M","0,00%"
"12/02/2013","1.935","1.925","1.935","1.915","37,39M","0,00%"
"13/02/2013","1.925","1.925","1.945","1.915","63,40M","-0,52%"
"14/02/2013","1.955","1.925","1.965","1.915","282,03M","1,56%"
"15/02/2013","1.995","1.955","2.005","1.955","242,93M","2,05%"
"18/02/2013","1.995","2.005","2.015","1.975","95,88M","0,00%"
"19/02/2013","1.985","1.995","2.015","1.975","56,57M","-0,50%"
"20/02/2013","1.975","1.985","2.005","1.955","90,70M","-0,50%"
"21/02/2013","1.985","1.975","1.985","1.965","91,76M","0,51%"
"22/02/2013","1.975","1.975","1.985","1.955","77,02M","-0,50%"
"25/02/2013","1.985","1.985","1.985","1.955","85,48M","0,51%"
"26/02/2013","1.975","1.985","1.985","1.955","54,79M","-0,50%"
"27/02/2013","2.035","1.995","2.075","1.985","242,85M","3,05%"
"28/02/2013","2.155","2.085","2.195","2.065","191,15M","5,91%"
"01/03/2013","2.175","2.195","2.195","2.105","95,81M","0,93%"
"04/03/2013","2.105","2.145","2.185","2.095","93,35M","-3,23%"
"05/03/2013","2.105","2.105","2.125","2.075","43,27M","0,00%"
"06/03/2013","2.225","2.135","2.236","2.135","131,74M","5,71%"
"07/03/2013","2.125","2.175","2.175","2.105","125,81M","-4,50%"
"08/03/2013","2.155","2.155","2.195","2.145","71,45M","1,41%"
"11/03/2013","2.175","2.185","2.195","2.155","37,42M","0,93%"
"13/03/2013","2.175","2.195","2.236","2.155","122,42M","0,00%"
"14/03/2013","2.125","2.165","2.185","2.125","89,59M","-2,30%"
"15/03/2013","2.065","2.135","2.205","2.065","100,25M","-2,83%"
"18/03/2013","2.105","2.065","2.115","2.055","100,44M","1,94%"
"19/03/2013","2.115","2.125","2.145","2.115","61,15M","0,48%"
"20/03/2013","2.145","2.145","2.195","2.125","114,07M","1,42%"
"21/03/2013","2.155","2.185","2.225","2.125","84,94M","0,47%"
"22/03/2013","2.115","2.155","2.165","2.095","97,73M","-1,86%"
"25/03/2013","2.145","2.155","2.175","2.125","49,50M","1,42%"
"26/03/2013","2.175","2.155","2.195","2.135","86,14M","1,40%"
"27/03/2013","2.175","2.175","2.185","2.145","59,25M","0,00%"
"28/03/2013","2.205","2.155","2.205","2.145","79,34M","1,38%"
"01/04/2013","2.155","2.205","2.225","2.145","30,41M","-2,27%"
"02/04/2013","2.185","2.135","2.185","2.135","37,64M","1,40%"
"03/04/2013","2.225","2.185","2.236","2.165","96,33M","1,83%"
"04/04/2013","2.175","2.215","2.225","2.175","70,59M","-2,25%"
"05/04/2013","2.145","2.195","2.215","2.145","52,92M","-1,38%"
"08/04/2013","2.105","2.145","2.165","2.085","105,52M","-1,87%"
"09/04/2013","2.165","2.135","2.175","2.125","100,96M","2,86%"
"10/04/2013","2.155","2.185","2.185","2.115","119,08M","-0,46%"
"11/04/2013","2.205","2.175","2.215","2.145","126,62M","2,33%"
"12/04/2013","2.236","2.225","2.256","2.215","93,18M","1,36%"
"15/04/2013","2.236","2.225","2.256","2.195","61,73M","0,00%"
"16/04/2013","2.356","2.236","2.366","2.205","157,17M","5,38%"
"17/04/2013","2.406","2.366","2.506","2.356","160,34M","2,13%"
"18/04/2013","2.316","2.366","2.366","2.306","159,96M","-3,75%"
"19/04/2013","2.346","2.296","2.386","2.286","108,92M","1,30%"
"22/04/2013","2.406","2.386","2.466","2.386","138,85M","2,56%"
"23/04/2013","2.386","2.406","2.436","2.376","128,54M","-0,83%"
"24/04/2013","2.396","2.406","2.426","2.376","93,21M","0,42%"
"25/04/2013","2.366","2.406","2.406","2.306","110,60M","-1,26%"
"26/04/2013","2.256","2.346","2.346","2.246","141,41M","-4,66%"
"29/04/2013","2.286","2.276","2.296","2.256","61,89M","1,33%"
"30/04/2013","2.346","2.296","2.356","2.296","186,76M","2,63%"
"01/05/2013","2.366","2.346","2.366","2.346","20,41M","0,85%"
"02/05/2013","2.366","2.336","2.366","2.316","68,16M","0,00%"
"03/05/2013","2.266","2.346","2.366","2.266","87,78M","-4,24%"
"06/05/2013","2.326","2.286","2.356","2.286","81,67M","2,65%"
"07/05/2013","2.346","2.336","2.356","2.306","79,36M","0,86%"
"08/05/2013","2.366","2.326","2.366","2.326","63,71M","0,85%"
"10/05/2013","2.376","2.346","2.386","2.346","90,58M","0,42%"
"13/05/2013","2.376","2.386","2.386","2.326","85,89M","0,00%"
"14/05/2013","2.376","2.366","2.386","2.346","72,10M","0,00%"
"15/05/2013","2.386","2.386","2.426","2.366","162,13M","0,42%"
"16/05/2013","2.386","2.416","2.426","2.376","100,07M","0,00%"
"17/05/2013","2.396","2.386","2.416","2.386","78,14M","0,42%"
"20/05/2013","2.466","2.436","2.586","2.436","142,07M","2,93%"
"21/05/2013","2.456","2.486","2.526","2.446","129,53M","-0,41%"
"22/05/2013","2.476","2.436","2.496","2.436","87,61M","0,82%"
"23/05/2013","2.446","2.456","2.486","2.416","153,51M","-1,21%"
"24/05/2013","2.466","2.466","2.486","2.456","68,91M","0,82%"
"27/05/2013","2.446","2.466","2.466","2.416","86,44M","-0,81%"
"28/05/2013","2.466","2.406","2.486","2.406","97,01M","0,82%"
"29/05/2013","2.486","2.466","2.506","2.466","110,74M","0,81%"
"30/05/2013","2.376","2.406","2.436","2.376","141,57M","-4,44%"
"31/05/2013","2.215","2.366","2.386","2.215","485,55M","-6,75%"
"03/06/2013","2.286","2.225","2.346","2.215","205,51M","3,17%"
"04/06/2013","2.276","2.286","2.336","2.236","117,37M","-0,44%"
"05/06/2013","2.246","2.266","2.286","2.246","117,72M","-1,32%"
"07/06/2013","2.205","2.246","2.256","2.165","230,86M","-1,79%"
"10/06/2013","2.105","2.205","2.236","2.075","177,09M","-4,55%"
"11/06/2013","2.005","2.105","2.115","1.975","248,26M","-4,76%"
"12/06/2013","2.065","2.015","2.105","1.945","207,56M","3,00%"
"13/06/2013","2.045","2.055","2.135","2.015","212,41M","-0,97%"
"14/06/2013","2.115","2.065","2.175","2.065","147,19M","3,43%"
"17/06/2013","2.085","2.115","2.155","2.075","109,41M","-1,42%"
"18/06/2013","2.175","2.095","2.225","2.095","169,43M","4,33%"
"19/06/2013","2.205","2.175","2.286","2.165","106,87M","1,38%"
"20/06/2013","2.105","2.105","2.145","2.035","156,68M","-4,55%"
"21/06/2013","1.995","2.005","2.075","1.975","236,84M","-5,24%"
"24/06/2013","2.005","2.005","2.055","1.985","147,31M","0,50%"
"25/06/2013","1.955","2.025","2.025","1.935","183,65M","-2,50%"
"26/06/2013","2.055","1.985","2.085","1.905","245,31M","5,13%"
"27/06/2013","2.165","2.105","2.266","2.105","208,23M","5,37%"
"28/06/2013","2.256","2.185","2.256","2.185","181,99M","4,17%"
"01/07/2013","2.185","2.205","2.256","2.175","86,05M","-3,11%"
"02/07/2013","2.155","2.195","2.205","2.155","91,98M","-1,38%"
"03/07/2013","2.115","2.105","2.155","2.105","178,21M","-1,86%"
"04/07/2013","2.185","2.165","2.246","2.155","75,88M","3,32%"
"05/07/2013","2.205","2.205","2.246","2.205","60,52M","0,92%"
"08/07/2013","2.185","2.165","2.246","2.165","105,01M","-0,91%"
"09/07/2013","2.205","2.225","2.276","2.205","131,01M","0,92%"
"10/07/2013","2.266","2.205","2.286","2.205","190,38M","2,73%"
"11/07/2013","2.336","2.276","2.366","2.266","175,48M","3,10%"
"12/07/2013","2.376","2.346","2.446","2.346","205,16M","1,72%"
"15/07/2013","2.376","2.376","2.386","2.336","99,49M","0,00%"
"16/07/2013","2.306","2.356","2.376","2.306","79,50M","-2,95%"
"17/07/2013","2.266","2.306","2.316","2.246","122,58M","-1,74%"
"18/07/2013","2.286","2.266","2.316","2.256","196,51M","0,88%"
"19/07/2013","2.336","2.306","2.356","2.286","90,27M","2,19%"
"22/07/2013","2.356","2.406","2.406","2.336","99,71M","0,86%"
"23/07/2013","2.406","2.386","2.406","2.366","105,29M","2,13%"
"24/07/2013","2.366","2.306","2.406","2.306","81,78M","-1,67%"
"25/07/2013","2.346","2.366","2.376","2.326","92,52M","-0,85%"
"26/07/2013","2.336","2.366","2.386","2.336","71,80M","-0,43%"
"29/07/2013","2.286","2.326","2.346","2.266","55,65M","-2,15%"
"30/07/2013","2.356","2.286","2.376","2.276","79,76M","3,07%"
"31/07/2013","2.386","2.366","2.386","2.336","86,61M","1,28%"
"01/08/2013","2.406","2.396","2.416","2.386","79,01M","0,84%"
"02/08/2013","2.406","2.446","2.446","2.406","54,44M","0,00%"
"12/08/2013","2.376","2.386","2.426","2.376","108,67M","-1,25%"
"13/08/2013","2.346","2.386","2.396","2.346","96,99M","-1,27%"
"14/08/2013","2.386","2.356","2.386","2.346","59,41M","1,71%"
"15/08/2013","2.396","2.366","2.426","2.356","99,45M","0,42%"
"16/08/2013","2.276","2.386","2.386","2.276","137,89M","-5,02%"
"19/08/2013","2.125","2.175","2.205","2.105","129,85M","-6,61%"
"20/08/2013","2.085","2.045","2.145","1.985","228,50M","-1,89%"
"21/08/2013","2.195","2.125","2.256","2.105","201,75M","5,29%"
