"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"02/01/2013","1.530","1.480","1.550","1.470","28,81M","3,38%"
"03/01/2013","1.530","1.550","1.560","1.530","16,85M","0,00%"
"04/01/2013","1.530","1.530","1.540","1.510","28,27M","0,00%"
"07/01/2013","1.520","1.530","1.540","1.510","12,18M","-0,65%"
"08/01/2013","1.530","1.530","1.550","1.510","16,28M","0,66%"
"09/01/2013","1.590","1.540","1.600","1.530","45,81M","3,92%"
"10/01/2013","1.650","1.590","1.700","1.590","58,16M","3,77%"
"11/01/2013","1.640","1.660","1.690","1.620","20,89M","-0,61%"
"14/01/2013","1.640","1.650","1.660","1.620","7,10M","0,00%"
"15/01/2013","1.660","1.640","1.680","1.600","17,45M","1,22%"
"16/01/2013","1.710","1.650","1.730","1.650","40,22M","3,01%"
"17/01/2013","1.690","1.720","1.730","1.660","12,06M","-1,17%"
"18/01/2013","1.650","1.690","1.700","1.650","10,04M","-2,37%"
"21/01/2013","1.640","1.660","1.680","1.630","11,57M","-0,61%"
"22/01/2013","1.700","1.640","1.700","1.620","23,07M","3,66%"
"23/01/2013","1.670","1.710","1.720","1.650","18,72M","-1,76%"
"25/01/2013","1.680","1.670","1.700","1.660","13,76M","0,60%"
"28/01/2013","1.660","1.690","1.690","1.640","17,10M","-1,19%"
"29/01/2013","1.660","1.660","1.670","1.650","7,85M","0,00%"
"30/01/2013","1.650","1.660","1.670","1.640","9,74M","-0,60%"
"31/01/2013","1.650","1.660","1.660","1.630","11,91M","0,00%"
"01/02/2013","1.640","1.650","1.680","1.630","15,75M","-0,61%"
"04/02/2013","1.640","1.640","1.710","1.640","43,53M","0,00%"
"05/02/2013","1.610","1.640","1.640","1.590","37,60M","-1,83%"
"06/02/2013","1.610","1.620","1.630","1.600","18,60M","0,00%"
"07/02/2013","1.640","1.610","1.660","1.600","35,27M","1,86%"
"08/02/2013","1.630","1.650","1.660","1.630","16,89M","-0,61%"
"11/02/2013","1.630","1.630","1.640","1.620","4,04M","0,00%"
"12/02/2013","1.630","1.630","1.640","1.620","3,81M","0,00%"
"13/02/2013","1.650","1.630","1.660","1.630","11,84M","1,23%"
"14/02/2013","1.650","1.650","1.680","1.650","20,60M","0,00%"
"15/02/2013","1.650","1.650","1.670","1.650","12,70M","0,00%"
"18/02/2013","1.660","1.650","1.680","1.640","22,46M","0,61%"
"19/02/2013","1.640","1.670","1.680","1.640","6,46M","-1,20%"
"20/02/2013","1.680","1.630","1.690","1.630","41,33M","2,44%"
"21/02/2013","1.660","1.680","1.700","1.650","37,10M","-1,19%"
"22/02/2013","1.660","1.660","1.680","1.650","15,97M","0,00%"
"25/02/2013","1.650","1.660","1.680","1.650","16,78M","-0,60%"
"26/02/2013","1.660","1.650","1.680","1.640","19,39M","0,61%"
"27/02/2013","1.690","1.670","1.700","1.670","26,03M","1,81%"
"28/02/2013","1.770","1.700","1.780","1.690","90,42M","4,73%"
"01/03/2013","1.760","1.770","1.790","1.750","36,00M","-0,56%"
"04/03/2013","1.730","1.760","1.770","1.720","26,37M","-1,70%"
"05/03/2013","1.770","1.730","1.780","1.720","28,69M","2,31%"
"06/03/2013","1.840","1.770","1.850","1.770","56,52M","3,95%"
"07/03/2013","1.820","1.840","1.860","1.810","19,77M","-1,09%"
"08/03/2013","1.820","1.820","1.870","1.810","34,36M","0,00%"
"11/03/2013","1.790","1.820","1.840","1.780","11,62M","-1,65%"
"13/03/2013","1.760","1.790","1.810","1.760","23,87M","-1,68%"
"14/03/2013","1.710","1.770","1.770","1.680","52,21M","-2,84%"
"15/03/2013","1.770","1.720","1.770","1.710","31,52M","3,51%"
"18/03/2013","1.760","1.760","1.770","1.740","18,42M","-0,56%"
"19/03/2013","1.820","1.770","1.850","1.760","41,37M","3,41%"
"20/03/2013","2.000","1.830","2.025","1.820","93,56M","9,89%"
"21/03/2013","1.950","2.025","2.025","1.950","37,53M","-2,50%"
"22/03/2013","1.860","1.950","1.970","1.850","48,88M","-4,62%"
"25/03/2013","1.960","1.860","1.970","1.860","45,55M","5,38%"
"26/03/2013","1.980","1.940","2.025","1.940","27,58M","1,02%"
"27/03/2013","2.025","2.000","2.075","1.990","40,12M","2,27%"
"28/03/2013","2.025","2.025","2.050","1.970","33,85M","0,00%"
"01/04/2013","2.050","2.025","2.050","1.990","18,03M","1,23%"
"02/04/2013","2.075","2.050","2.100","2.000","21,64M","1,22%"
